model,anemia,aus_rain,campusrecruitment,employability,fraud,loan,mobile_price,stress,student_testprep,titanic,wine,drug,shipping
logi,0.9984284965950758,0.8448245303084011,0.8604651162790697,0.9167871485943774,0.962645305383114,0.7422000000000001,0.9735,0.8818181818181818,0.762,0.7975560210753507,0.9888888888888888,0.96,0.5949514655421886
knn,0.7404126499167625,0.8192130450194967,0.8279069767441861,0.9336619204089084,0.9970314615831032,0.7081999999999999,0.633,0.8700000000000001,0.6809999999999999,0.8087856281343235,0.9607936507936508,0.9,0.6078609698623342
ffn,0.9960192750890424,0.7778100061297013,0.8603938445487742,0.940864856380474,0.999067935466301,0.7436008596600008,0.933490461976219,0.8827121891176922,0.7490154825484167,0.8200511117177784,0.9775894538606404,0.974898236092266,0.5929506086164958
dt,1.0,0.8176710386387807,0.813953488372093,0.9372763782402338,0.993899372175228,0.7449999999999999,0.8455,0.889090909090909,0.68,0.8144289976512409,0.9047619047619048,0.985,0.6178598123113812
rf,0.9816674940143,0.8029422190712513,0.8093023255813954,0.927637824023366,0.9997450011430984,0.6950000000000001,0.7929999999999999,0.8781818181818182,0.663,0.7897098965276454,0.9553968253968254,0.98,0.6206748935466535
